Year,Annual Average Price For Cheese,Annual Average Price For Milk,Annual Average Price For Chedar Cheese,Annual Average Price For Beef Chunks,Annual Average Price For Beef Steaks,Annual Average Price For Chicken,Annual Average Price For Pork,Annual Average Price For Eggs,Annual Average Price For Bread,Annual Average Price For Flour,Annual Average Price For Rice,Annual Average Price For Banana,Annual Average Price For Oranges,Annual Average Price For Strawberries,Annual Average Price For Tomatoes,Inlflation %,% CPI for Grains,% CPI for Fruits,%CPI for Animal Products,% CPI for Dairy Prodcuts,AnnualCPI,% PPI for Fruits,% PPI for Vegeatables,%PPI for Beef,%PPI for Pork,%PPI for Poultry,% PPI for Eggs,% PPI for Milk,% PPI for Dairy ,% PPI for Wheat
1984,2.506,#N/A,3.06525,1.716833333,2.906166667,1.154,1.714400833,1.004666667,0.54125,0.213416667,0.478,0.359416667,0.423428571,0.7955,0.807333333,8.62%,4.3,8.6,1.7,1.3,103.9,0.4,11.8,0.3,-0.4,11.2,,-1.3,0.4,-4.0
1985,2.532,#N/A,3.0935,1.677916667,2.822083333,1.0765,1.708172333,0.803583333,0.55325,0.211916667,0.469833333,0.366916667,0.532833333,0.8316,0.778166667,2.61%,3.8,2.6,-0.4,1.9,107.6,1.2,-11.9,-6.6,-1.2,-4.2,-18.8,-4.9,-0.9,-9.4
1986,2.602,#N/A,3.049083333,1.636166667,2.76875,1.166833333,1.887560167,0.869583333,0.564666667,0.208416667,0.4455,0.384833333,0.480714286,0.828666667,0.82375,0.92%,2.8,0.9,4.4,0.1,109.6,4.4,-1.7,-2.4,12.1,5.8,4.1,-2.9,-0.3,-12.9
1987,2.689,#N/A,3.055583333,1.707166667,2.88625,1.084636364,1.9935365,0.782583333,0.547416667,0.205416667,0.4015,0.3648,0.5432,0.9632,0.8231,8.84%,3.5,8.9,6.5,2.5,113.6,-0.8,6.1,8.4,5.0,-11.4,-12.0,1.0,1.7,-4.6
1988,2.776,#N/A,3.164916667,1.76075,2.986166667,1.141,1.940460167,0.7895,0.612833333,0.214083333,0.484416667,0.418166667,0.526333333,0.996571429,0.834083333,7.58%,6.4,7.6,3.5,2.4,118.3,1.3,1.6,6.2,-9.4,7.8,1.1,-2.7,0.6,28.7
1989,2.930,#N/A,3.203555556,1.8265,3.11575,1.205916667,1.934553,0.997833333,0.665583333,0.244583333,0.4985,0.448666667,0.516285714,1.037142857,0.912,7.68%,8.4,7.7,5,6.6,124.0,-0.3,10.6,7.4,2.8,7.9,35.0,10.5,8.2,16.9
1991,3.436,#N/A,3.55125,1.968083333,3.407166667,1.1545,2.241725667,0.98925,0.709833333,0.233583333,0.502666667,0.481,0.784,1.078333333,1.006583333,4.60%,4.1,4.6,2.3,-1.1,136.2,10.0,-12.1,-3.3,-5.3,-3.3,-5.9,-11.2,-2.2,-9.4
1992,3.318,#N/A,3.56975,1.913666667,3.3845,1.119666667,2.094928167,0.860166667,0.749833333,0.243,0.527916667,0.458083333,0.574142857,1.142,1.09425,-0.28%,3.9,-0.3,-0.8,2.7,140.3,-35.3,10.8,-2.4,-12.8,-0.8,-15.0,7.4,2.9,24.1
1993,3.094,#N/A,3.342166667,1.941916667,3.39825,1.103666667,2.090784333,0.911416667,0.752083333,0.234416667,0.51225,0.43875,0.549428571,1.118777778,1.08375,2.32%,3.4,2.3,3.3,0.7,144.5,0.6,17.6,3.1,6.9,2.5,12.5,-2.1,0.2,-0.1
1994,3.069,#N/A,3.350666667,1.857,3.254416667,1.13075,2.095369,0.862833333,0.760666667,0.231083333,0.54675,0.462166667,0.545428571,1.134222222,1.085833333,3.79%,4.1,3.8,1.5,1.8,148.2,-2.1,-4.6,-8.2,-4.1,2.7,-7.6,1.7,1.1,6.5
1995,3.066,2.483666667,3.388583333,1.837833333,3.205916667,1.15825,2.060895833,0.9245,0.79125,0.245416667,0.5245,0.489666667,0.624571429,1.318333333,1.15625,7.68%,2.8,7.7,0.9,0.8,152.4,3.7,11.9,-2.6,0.1,-0.4,6.4,-2.2,0.3,13.2
1996,3.335,2.623166667,3.248083333,1.801583333,3.1195,1.240333333,2.337122,1.106333333,0.875666667,0.287666667,0.546166667,0.489583333,0.617285714,1.2938,1.21,3.51%,3.9,3.5,3.5,7,156.9,17.5,-6.5,-0.7,19.1,4.8,25.6,15.3,8.9,15.2
1997,3.449,2.614,3.219666667,1.838166667,3.097333333,1.23425,2.449710833,1.058333333,0.87225,0.301916667,0.565,0.486583333,0.597714286,1.355111111,1.292916667,1.94%,2.1,2,2.9,2.4,160.5,-1.4,-8.8,2.6,1.8,-1.9,-9.0,-9.6,-1.8,-20.8
1998,3.590,2.70375,3.5475,1.810333333,3.089333333,1.27125,2.426932833,1.037416667,0.860166667,0.299833333,0.541916667,0.493916667,0.564666667,1.6426,1.476166667,5.70%,2,5.7,-0.8,3.6,163.0,-9.0,13.3,-3.3,-21.5,2.9,-9.6,15.8,7.9,-18.9
1999,3.811,2.84275,3.76975,1.84075,3.12525,1.265583333,2.414423558,0.95925,0.887083333,0.293916667,0.536833333,0.490833333,0.842833333,1.6945,1.369666667,2.48%,2.2,2.5,0.7,5.8,166.6,14.5,-15.4,6.9,-0.6,-5.6,-16.9,-5.8,0.7,-9.5
2000,3.698,2.780666667,3.829916667,1.937416667,3.236416667,1.269916667,2.582004867,0.9135,0.930166667,0.29025,0.4905,0.501,0.628,1.5326,1.382,0.76%,1.8,0.7,4.5,0.7,172.2,-11.8,7.4,7.0,18.1,-1.0,9.4,-13.5,-4.0,1.0
2001,3.871,2.88425,4.026916667,2.106333333,3.49725,1.31425,2.693949175,0.929333333,0.999083333,0.302333333,#N/A,0.506666667,0.721714286,1.865727273,1.320333333,3.69%,2.9,3.7,4.4,4,177.1,6.9,-1.6,6.1,6.1,3.5,-4.2,21.5,8.6,6.5
2002,3.881,2.75725,4.218083333,2.133583333,3.501333333,1.307166667,2.657516552,1.032,1.015583333,0.3115,0.469375,0.5075,0.835875,1.857,1.3245,4.10%,2.2,4.1,0.5,0.6,179.9,-6.3,9.5,-4.9,-9.4,-4.7,2.2,-18.8,-6.2,14.5
2003,3.771,2.761083333,3.948416667,2.277333333,3.835083333,1.25625,2.657955694,1.244416667,1.00075,0.311666667,0.452166667,0.508666667,0.838111111,1.929,1.509083333,2.27%,2.4,2.3,4,-0.1,184.0,-8.1,-0.6,20.2,6.1,4.8,37.9,3.3,2.3,0.6
2004,3.984,3.155916667,4.272916667,2.5025,4.133916667,1.33075,2.791717482,1.3395,0.969416667,0.302583333,0.536333333,0.49525,0.858555556,2.23275,1.606333333,3.01%,1.6,3,7.4,7.3,188.9,24.7,-4.6,2.4,14.7,11.7,-7.3,28.0,11.8,7.6
2005,3.881,3.186833333,4.3815,2.5385,4.095916667,1.326666667,2.826938455,1.218166667,1.040333333,0.323916667,0.554083333,0.492166667,0.9958,2.111,1.611083333,3.73%,1.5,3.7,2.4,1.2,195.3,-2.0,10.2,4.4,-0.6,-1.2,-26.5,-5.5,-0.9,-3.1
2006,3.720,3.081333333,4.254833333,2.55025,3.999583333,1.2385,2.807286033,1.30625,1.0805,0.328666667,0.549166667,0.500333333,1.087181818,2.041583333,1.731666667,4.78%,1.8,4.8,0.8,-0.5,201.6,8.0,7.5,-3.5,-3.0,-8.2,10.8,-14.8,-4.5,13.8
2007,3.839,3.50325,4.229916667,2.699666667,4.109916667,1.310166667,2.870510742,1.67625,1.207333333,0.36025,0.549,0.510166667,1.284454545,2.2025,1.646583333,3.84%,4.4,3.8,3.8,7.4,207.3,11.2,8.0,2.7,4.1,12.8,61.2,48.2,19.1,47.2
2008,4.042,3.795333333,4.725333333,2.8735,4.237833333,1.422083333,2.936501529,1.9865,1.366416667,0.506666667,0.732583333,0.609333333,1.116333333,2.287666667,1.744083333,6.21%,10.2,6.2,4.2,8,215.3,-0.4,4.1,5.2,-2.0,3.9,17.7,-4.3,4.0,36.6
2009,3.903,3.109,4.66875,2.877833333,4.137,1.4945,2.919736848,1.664,1.387416667,0.501083333,0.765666667,0.611166667,1.050416667,2.098,1.62275,-2.15%,3.150425527,-2.146607198,0.517769253,-6.361100021,214.5,-10.2,-5.9,-7.4,-11.5,2.1,-26.4,-30.1,-14.0,-36.5
2010,3.910,3.2585,4.70975,2.905416667,4.2785,1.46125,3.113471477,1.659666667,1.373333333,0.476916667,0.740666667,0.579666667,1.06175,2.1855,1.692416667,0.19%,-0.838589088,0.188072193,1.922184867,1.133007635,218.1,12.1,10.0,10.3,23.2,1.4,0.5,27.1,10.8,5.3
